#,Player,UUID,Country,Role,Bowling Style,Bowl Balls,Wickets,Economy,Bat Innings,Bat Runs,Style
249,Vraj Patel,2af28253,Kenya,Bowler,Slow left-arm orthodox,1242,80,5.2,6,10,SLA
250,Abbas Afridi,2cec2a92,Pakistan,Bowling All-rounder,Right-arm fast,1241,101,8.79,33,309,RAF
251,Rishad Hossain,5935d694,Bangladesh,Bowler,Right-arm leg-break googly,1232,82,8.12,36,225,LBG
252,Muhammad Nadir,090f96e4,Rwanda,Bowler,Slow left-arm orthodox,1228,55,5.04,28,148,SLA
253,BAW Mendis,ea0cdc12,Sri Lanka,Bowler,Right-arm off-break,1225,73,6.69,11,24,OB
254,Zahoor Khan,f0e293b0,United Arab Emirates,Bowler,Right-arm fast-medium,1221,71,6.82,10,12,RAFM
255,M Akayezu,1f3b9f8d,Rwanda,Bowler,Right-arm fast-medium,1216,69,6.99,62,451,RAFM
256,AR Ramjani,30d8136b,Uganda,Batting All-rounder,Slow left-arm orthodox,1215,95,4.6,40,745,SLA
257,HR Walsh,1ac2a995,West Indies,Bowling All-rounder,Right-arm leg-break googly,1213,65,7.69,26,258,LBG
258,MN Samuels,f846de6a,West Indies,Batting All-rounder,Right-arm off-break,1209,52,7.27,120,2641,OB
259,RM Koda,f0a45427,Indonesia,Bowler,Right-arm fast-medium,1207,54,6.32,14,23,RAFM
260,Aqib Iqbal,14157abf,Austria,Batting All-rounder,Right-arm fast-medium,1201,68,6.41,44,825,RAFM
261,GH Dockrell,99cddc5e,Ireland,Bowling All-rounder,Slow left-arm orthodox,1191,69,6.77,79,984,SLA
262,S Vijay Unni,f737ab44,Malaysia,Bowling All-rounder,Right-arm off-break,1175,64,6.07,34,284,OB
263,MP Kuhnemann,7b953689,Australia,Bowler,Slow left-arm orthodox,1175,47,7.62,18,79,SLA
264,M Kartik,abfeb126,India,Batter,Slow left-arm orthodox,1173,31,6.97,14,113,SLA
265,SC Williams,afe57f7a,Zimbabwe,Batting All-rounder,Slow left-arm orthodox,1170,45,6.77,86,1774,SLA
266,A Bohara,64fb6b15,Nepal,Bowler,Right-arm fast-medium,1170,67,7.27,13,23,RAFM
267,JD Wildermuth,f1c61793,Australia,Bowling All-rounder,Right-arm fast-medium,1159,50,8.31,38,438,RAFM
268,Rumman Raees,1c790f4f,Pakistan,Bowler,Left-arm fast-medium,1147,56,7.57,11,33,LAFM
269,SJ Benn,364ee2cf,West Indies,Bowler,Slow left-arm orthodox,1139,43,6.99,15,57,SLA
270,L Wood,65b6943c,England,Bowler,Left-arm fast-medium,1138,68,8.38,21,104,LAFM
271,Shoriful Islam,bb34fd31,Bangladesh,Bowler,Left-arm fast-medium,1138,61,8.04,18,71,LAFM
272,JR Hopes,2498e163,Australia,Bowling All-rounder,Right-arm fast-medium,1135,44,7.75,49,729,RAFM
273,TL Chatara,5bbabe59,Zimbabwe,Bowler,Right-arm fast-medium,1131,57,6.88,10,23,RAFM
274,Yasin Patel,ecdd8d60,Kuwait,Bowling All-rounder,Slow left-arm orthodox,1130,60,5.79,26,235,SLA
275,WP Masakadza,4bc0a378,Zimbabwe,Bowler,Right-arm off-break,1120,44,7.08,36,214,OB
276,MA Beer,f60dc2a5,Australia,Bowler,Slow left-arm orthodox,1113,40,6.51,10,25,SLA
277,Syed Aziz,6667067e,Malaysia,Batting All-rounder,Right-arm fast-medium,1111,60,7.08,100,2345,RAFM
278,H Kerr,f422728b,,Bowling All-rounder,Right-arm fast-medium,1111,64,8.21,36,470,RAFM
279,Usman Qadir,33742f04,Pakistan,Bowler,Right-arm leg-break googly,1110,61,8.38,20,91,LBG
280,E Rukiriza,3ac13a94,Rwanda,Bowler,Right-arm off-break,1105,63,6.45,40,178,OB
281,P Hatzoglou,6f95e5fa,Pakistan,Bowler,Right-arm leg-break googly,1104,45,7.36,11,40,LBG
282,T Sangha,52c952d9,Australia,Bowler,Right-arm leg-break googly,1104,64,7.46,8,33,LBG
283,Zaman Khan,28392e11,Pakistan,Bowler,Left-arm fast-medium,1102,62,8.04,12,20,LAFM
284,LS Livingstone,50c6bc2b,England,Batting All-rounder,Right-arm leg-break googly,1099,58,8.57,152,3504,LBG
285,BJ McCarthy,3766056b,Ireland,Bowling All-rounder,Right-arm fast,1097,47,8.1,31,278,RAF
286,Mahmudullah,bf1d7d3e,Bangladesh,Batting All-rounder,Right-arm off-break,1096,49,7.18,133,2392,OB
287,B Fernando,dabbd0ae,Sri Lanka,Bowling All-rounder,Left-arm fast-medium,1094,63,7.36,15,82,LAFM
288,C Karunaratne,fb3e0d39,Sri Lanka,Batting All-rounder,Right-arm fast-medium,1089,40,8.39,62,722,RAFM
289,P Aho,2e392afa,Nigeria,Bowling All-rounder,Right-arm fast-medium,1087,66,5.48,34,268,RAFM
290,Imran Khan,a0a32dd1,Bahrain,Bowler,Right-arm fast-medium,1085,55,7.01,17,68,RAFM
291,SB Jakati,c8179c68,,Batting All-rounder,Slow left-arm orthodox,1085,47,7.86,5,28,SLA
292,S Sreesanth,6b8eb6e5,India,Bowler,Right-arm fast-medium,1084,47,7.49,15,54,RAFM
293,A Dananjaya,5b16a806,Sri Lanka,Bowler,Right-arm off-break,1079,42,8.27,22,90,OB
294,DJM Short,1a156c88,Australia,Batting All-rounder,Slow left-arm orthodox,1078,44,8.34,132,3895,SLA
295,DS Airee,1747ea18,Nepal,Batting All-rounder,Slow left-arm orthodox,1076,55,5.96,76,1919,SLA
296,IKEG Artawan,190957d2,Indonesia,Bowler,Right-arm fast-medium,1076,58,6.31,51,361,RAFM
297,CR Woakes,4c5d73db,England,Bowling All-rounder,Right-arm fast-medium,1075,62,8.17,30,233,RAFM
298,Harmeet Singh,0bf15e52,United States of America,Bowling All-rounder,Slow left-arm orthodox,1075,51,7.12,22,253,SLA
299,JW Hastings,012829ff,Australia,Bowling All-rounder,Right-arm fast-medium,1071,62,7.54,26,219,RAFM
300,Mashrafe Mortaza,e186f49c,Bangladesh,Bowler,Right-arm fast-medium,1067,34,8.04,36,293,RAFM
301,RJW Topley,8db7f47f,England,Bowling All-rounder,Left-arm fast-medium,1065,52,8.47,15,68,LAFM
302,Junaid Khan,be0077ba,Finland,Bowler,Left-arm fast-medium,1062,52,7.23,15,30,LAFM
303,MD Shanaka,3ff033bb,Sri Lanka,Batting All-rounder,Right-arm fast-medium,1060,60,8.14,149,2495,RAFM
304,Umaid Asif,f69f1d8a,Pakistan,Bowling All-rounder,Right-arm fast-medium,1040,48,8.24,16,151,RAFM
305,AM Kimote,34e36b65,Tanzania,Bowler,Right-arm fast-medium,1037,75,6.9,39,295,RAFM
306,Washeem Abbas,6de4e430,Malta,Bowler,Right-arm fast-medium,1035,65,7.63,28,124,RAFM
307,Sohail Khan,5af743d0,Pakistan,Bowler,Right-arm fast-medium,1026,45,8.53,24,145,RAFM
308,Zahir Khan,786b7fe8,Pakistan,Bowler,Left-arm wrist-spin,1021,45,7.14,15,48,LWS
309,Ghulam Ahmadi,2dfe0612,Germany,Batter,Right-arm fast,1020,54,6.14,12,41,RAF
310,CP Tremain,96824e68,,Bowling All-rounder,Right-arm fast-medium,1015,41,7.79,16,80,RAFM
311,J Theron,dec8e038,South Africa,Bowling All-rounder,Right-arm fast,1011,56,7.66,21,118,RAF
312,KR Mayers,73c18486,West Indies,Batting All-rounder,Right-arm fast-medium,1004,40,7.76,138,2721,RAFM
313,MW Short,a90e53ec,Australia,Batting All-rounder,Right-arm off-break,1002,45,7.56,110,2838,OB
314,R Sharma,2278c4ca,Singapore,Bowling All-rounder,Right-arm leg-break googly,1002,43,7.13,27,223,LBG
315,TU Deshpande,46a9bea1,India,Batter,Right-arm fast-medium,1001,53,9.3,8,28,RAFM
316,Zeeshan Maqsood,34464143,Oman,Batting All-rounder,Slow left-arm orthodox,998,48,6.42,56,1192,SLA
317,Salman Irshad,30afc92b,Pakistan,Bowler,Right-arm fast-medium,997,61,8.65,12,19,RAFM
318,LN Oluoch,eb4f9c61,Kenya,Bowling All-rounder,Right-arm fast-medium,994,56,6.72,35,311,RAFM
319,RJ Harris,12eddf28,Australia,Bowler,Right-arm fast,994,55,7.31,25,148,RAF
320,VR Aaron,0a3d54b9,India,Bowler,Right-arm fast,994,44,8.41,12,50,RAF
321,RS Bopara,7ca5e05d,England,Batting All-rounder,Right-arm fast-medium,992,44,7.78,119,2530,RAFM
322,S Gopal,7a8bd078,,Bowling All-rounder,Right-arm leg-break googly,991,52,8.09,22,180,LBG
323,SA Jumbe,91056862,Tanzania,Bowling All-rounder,Right-arm fast-medium,989,57,7.23,46,470,RAFM
324,N Senamontree,44e00a4c,Thailand,Bowler,Slow left-arm orthodox,988,64,5.28,28,124,SLA
325,W Sutherland,bc2d4f2e,,Bowling All-rounder,Right-arm fast-medium,985,39,8.57,54,663,RAFM
326,DC Drakes,34b332d3,West Indies,Bowling All-rounder,Left-arm fast-medium,984,43,9.32,34,383,LAFM
327,A Shukla,a1e80d06,Croatia,Bowler,Right-arm fast-medium,973,47,7.41,20,44,RAFM
328,DR Smith,35205dfc,West Indies,Batting All-rounder,Right-arm off-break,972,42,8.49,205,5234,OB
329,Khizar Hayat,78bbeba1,Malaysia,Bowling All-rounder,Right-arm off-break,968,45,6.39,29,253,OB
330,S Thakor,0848ac5f,Tanzania,Bowling All-rounder,Right-arm fast-medium,966,57,5.24,41,423,RAFM
331,N Pradeep,2af838ee,Sri Lanka,Bowler,Right-arm fast,966,67,8.95,16,29,RAF
332,A Kumble,0c2730df,India,Bowler,Right-arm leg-break googly,965,45,6.34,15,35,LBG
333,MG Erasmus,95a5e066,Namibia,Batting All-rounder,Right-arm off-break,957,58,5.63,72,1802,OB
334,AL Phehlukwayo,ab6b1c45,South Africa,Bowler,Right-arm fast-medium,951,59,8.54,36,278,RAFM
335,SH Johnson,83c3e8e3,Australia,Bowler,Right-arm fast-medium,950,60,7.84,14,56,RAFM
336,TT Bresnan,58043739,England,Bowling All-rounder,Right-arm fast-medium,947,44,7.91,27,301,RAFM
337,CA Rose,7517d134,Australia,Bowling All-rounder,Right-arm fast-medium,947,28,8.17,20,183,RAFM
338,RP Burl,b08252b8,Zimbabwe,Batting All-rounder,Right-arm off-break,939,49,7.0,89,1663,OB
339,JS Paris,7c8f533d,Australia,Bowler,Left-arm fast-medium,939,43,8.36,20,82,LAFM
340,DJ Worrall,208f22ea,Australia,Bowling All-rounder,Right-arm fast-medium,938,38,7.75,18,131,RAFM
341,JW Dernbach,7be8a0ed,Italy,Bowler,Right-arm fast-medium,936,47,8.13,12,52,RAFM
342,JL Pattinson,f752db61,Australia,Bowler,Right-arm fast,934,49,8.08,20,107,RAF
343,LM Jongwe,b8704508,Zimbabwe,Bowling All-rounder,Right-arm fast-medium,930,61,8.1,43,483,RAFM
344,LA Dawson,4a461c24,England,Bowling All-rounder,Slow left-arm orthodox,929,41,7.72,35,559,SLA
345,K Irakoze,9ccb6e52,Rwanda,Bowler,Right-arm fast-medium,928,48,6.74,41,335,RAFM
346,JJ Smit,bb134e5c,Namibia,Batting All-rounder,Right-arm fast-medium,926,65,6.14,55,1175,RAFM
347,JN Frylinck,3c87f0c3,Namibia,Batting All-rounder,Left-arm fast-medium,921,57,6.74,53,1033,LAFM
348,Iqbal Abdulla,85aae393,India,Batting All-rounder,Slow left-arm orthodox,920,40,7.06,13,88,SLA
349,D Heyliger,f8c72766,Canada,Batting All-rounder,Right-arm fast-medium,918,45,6.93,34,361,RAFM
350,Bilal Zalmai,33b67317,Austria,Batting All-rounder,Right-arm off-break,917,43,6.86,39,1205,OB
351,Shiraz Khan,f310704c,Kuwait,Bowling All-rounder,Right-arm leg-break googly,916,45,6.18,28,308,LBG
352,CJ McKay,94eac556,Australia,Bowling All-rounder,Right-arm fast-medium,913,46,7.86,17,112,RAFM
353,AR Nurse,4a745f65,West Indies,Bowling All-rounder,Right-arm off-break,912,33,7.58,52,529,OB
354,MS Gony,ae78bc32,,Bowler,Right-arm fast-medium,912,38,8.48,15,99,RAFM
355,Mukesh Kumar,2cffab74,India,Bowler,Right-arm fast-medium,900,54,9.37,8,15,RAFM
356,Muslim Yar,37d8d19a,Germany,Bowling All-rounder,Slow left-arm orthodox,899,53,6.45,20,229,SLA
357,KD Mills,7fb32e5b,New Zealand,Bowler,Right-arm fast-medium,897,43,8.05,19,137,RAFM
358,KJ Abbott,a9da7784,South Africa,Batter,Right-arm fast-medium,897,42,8.47,14,85,RAFM
359,CW Perchard,9f998ed8,Jersey,Bowler,Right-arm fast-medium,894,67,5.97,15,99,RAFM
360,PM Seelaar,abbdca1a,Netherlands,Bowling All-rounder,Slow left-arm orthodox,892,44,7.15,40,557,SLA
361,SN Netravalkar,c8a3f688,United States of America,Bowler,Left-arm fast-medium,891,46,6.85,11,43,LAFM
362,B Doggett,898e628d,Australia,Bowler,Right-arm fast,890,43,7.93,15,87,RAF
363,P Mishra,3fa5672e,Bulgaria,Bowling All-rounder,Right-arm leg-break googly,884,40,6.62,36,451,LBG
364,Ishtiaq Ahmad,056b433b,Saudi Arabia,Bowler,Right-arm fast-medium,878,62,6.4,12,57,RAFM
365,Rohan Mustafa,d1988788,United Arab Emirates,Bowling All-rounder,Right-arm off-break,875,47,6.43,41,641,OB
366,P Useni,71fa64d6,Nigeria,Bowling All-rounder,Left-arm fast-medium,874,51,6.14,46,445,LAFM
367,MA Wood,8d92a2c3,England,Bowler,Right-arm fast,872,63,8.22,10,39,RAF
368,Yash Dayal,7210d461,,Bowler,Left-arm fast-medium,871,41,9.09,4,4,LAFM
369,WB Rankin,29b89ae8,England,Bowler,Right-arm fast-medium,870,44,6.09,12,53,RAFM
370,M Ashwin,e2db2409,India,Bowler,Right-arm off-break,870,35,7.79,12,35,OB
371,C Rububagumya,8088632c,Rwanda,Bowling All-rounder,Right-arm fast-medium,868,45,6.97,61,660,RAFM
372,GJ Delany,33b3d2df,Ireland,Batting All-rounder,Right-arm fast-medium,866,40,7.61,60,970,RAFM
373,Shakeel Ahmed,e29e9c12,Oman,Bowling All-rounder,Slow left-arm orthodox,864,34,6.12,22,232,SLA
374,Mohammad Saifuddin,b3a28446,Bangladesh,Batting All-rounder,Right-arm fast-medium,862,43,8.38,22,266,RAFM
375,Navdeep Saini,21d4e29b,India,Bowler,Right-arm fast,861,37,7.95,10,45,RAF
376,L Pope,616a8149,Australia,Bowler,Right-arm leg-break googly,858,51,8.12,7,8,LBG
377,PJ Sangwan,9fc0ef64,India,Bowler,Left-arm fast-medium,856,38,8.24,14,26,LAFM
378,RRS Cornwall,c4d9634c,West Indies,Bowling All-rounder,Right-arm off-break,855,39,7.59,78,1401,OB
379,N Vanua,a36915ce,Papua New Guinea,Bowling All-rounder,Right-arm fast-medium,854,50,7.05,37,588,RAFM
380,V Saini,0fa81719,Romania,Batting All-rounder,Right-arm fast-medium,853,39,6.65,43,1000,RAFM
381,CAK Rajitha,8012d0b8,Sri Lanka,Bowler,Right-arm fast-medium,853,49,8.12,20,53,RAFM
382,T van der Gugten,d99cc23a,Netherlands,Batter,Right-arm fast-medium,853,50,7.41,14,175,RAFM
383,BC Fortuin,9a2fc964,South Africa,Bowler,Slow left-arm orthodox,852,40,7.49,24,167,SLA
384,DJ Hussey,fd835ab3,Australia,Batting All-rounder,Right-arm off-break,846,38,7.41,141,2964,OB
385,AB Agarkar,fa463154,India,Bowling All-rounder,Right-arm fast-medium,845,32,8.46,20,194,RAFM
386,S Prasanna,f78e7113,Sri Lanka,Bowling All-rounder,Right-arm off-break,844,34,7.09,43,390,OB
387,GF Linde,e5437608,South Africa,Bowling All-rounder,Slow left-arm orthodox,844,42,7.71,39,470,SLA
388,M Mooketsi,008a024c,Botswana,Bowler,Slow left-arm orthodox,844,45,6.38,19,57,SLA
389,R Tewatia,39a2dfa8,Pakistan,Batting All-rounder,Right-arm leg-break googly,843,32,7.74,76,1112,LBG
390,Simi Singh,c9945bdf,Ireland,Bowler,Right-arm off-break,842,38,7.25,30,218,OB
391,Shahnawaz Dhani,7ccbb09f,Pakistan,Bowler,Right-arm fast-medium,841,51,8.78,5,22,RAFM
392,PADLR Sandakan,79aad751,Sri Lanka,Bowler,Left-arm wrist-spin,838,41,7.64,14,44,LWS
393,YM Nkanya,9238dd92,Tanzania,Bowler,Slow left-arm orthodox,837,53,5.39,12,9,SLA
394,JNT Seales,ded9ff1e,West Indies,Batter,Right-arm fast-medium,837,49,8.57,10,25,RAFM
395,Mohamed Shafeeq,ff13b10c,Kuwait,Bowler,Right-arm fast-medium,836,37,7.11,11,27,RAFM
396,IK Gamantika,4d7c5b56,Indonesia,Bowling All-rounder,Right-arm off-break,835,46,5.56,55,811,OB
397,M Kelly,68e26ec9,Australia,Bowler,Right-arm fast-medium,835,55,7.83,14,95,RAFM
398,XJ Doherty,502b2c81,Australia,Batter,Slow left-arm orthodox,834,35,7.68,11,49,SLA
399,Kaleem Sana,14810ee7,Canada,Bowler,Left-arm fast-medium,830,61,5.47,8,46,LAFM
400,AM Hardie,d405c0d5,Australia,Batting All-rounder,Right-arm fast-medium,823,42,8.21,66,1413,RAFM
401,Zain Ul Abidin,b93b87ae,Saudi Arabia,Bowling All-rounder,Slow left-arm orthodox,823,45,5.65,31,335,SLA
402,C Kyewuta,395695ce,Uganda,Bowling All-rounder,Right-arm fast,823,55,6.08,20,120,RAF
403,K Nassoro,29ee9bf9,Tanzania,Bowling All-rounder,Right-arm off-break,821,37,6.72,56,855,OB
404,Ahmed Raza,79b4839e,United Arab Emirates,Bowler,Slow left-arm orthodox,818,29,6.35,16,108,SLA
405,CBRLS Kumara,4751caa3,Sri Lanka,Bowler,Right-arm fast,818,50,8.03,13,28,RAF
406,BE Hendricks,b56dc5f7,South Africa,Bowler,Left-arm fast-medium,816,50,8.53,10,27,LAFM
407,Fayyaz Butt,bd9fbd51,Oman,Bowling All-rounder,Right-arm fast-medium,814,47,7.49,19,147,RAFM
408,RA Reifer,d7725664,West Indies,Bowling All-rounder,Left-arm fast-medium,812,55,8.53,62,911,LAFM
409,Janak Prakash,f092b4c7,Singapore,Bowling All-rounder,Right-arm fast-medium,812,44,8.15,36,506,RAFM
410,Harpreet Brar,c05edf8e,Pakistan,Batting All-rounder,Slow left-arm orthodox,811,35,7.82,26,244,SLA
411,FJ Klaassen,c042b412,Netherlands,Bowler,Right-arm fast-medium,810,43,7.27,14,45,RAFM
412,MG Bracewell,e38bce7a,New Zealand,Batting All-rounder,Right-arm off-break,803,47,7.68,40,575,OB
413,RR Beaton,684a56df,India,Batter,Right-arm fast-medium,803,33,8.11,4,32,RAFM
414,NM Lyon,96a6a7ad,Australia,Bowler,Right-arm off-break,796,44,7.18,15,44,OB
415,NO Miller,ea3ffd1b,West Indies,Batting All-rounder,Slow left-arm orthodox,796,28,6.95,13,57,SLA
416,B Ward,9e0bd203,Jersey,Batting All-rounder,Right-arm leg-break googly,795,56,5.58,30,561,LBG
417,Yasir Shah,f2800ef3,Pakistan,Bowler,Right-arm leg-break googly,793,31,7.1,15,62,LBG
418,NJ Rimmington,6042bf26,,Bowling All-rounder,Right-arm fast-medium,792,37,7.92,18,125,RAFM
419,Mohammad Nadeem,c5d7b244,Oman,Batting All-rounder,Right-arm fast-medium,789,34,7.38,42,700,RAFM
420,Taranjeet Singh,ec483176,Romania,Batting All-rounder,Right-arm off-break,788,49,6.52,40,1296,OB
421,Waqar Salamkheil,3f1066d0,Pakistan,Bowler,Slow left-arm orthodox,787,50,8.31,8,15,SLA
422,GP Swann,221ad9d9,England,Batting All-rounder,Right-arm off-break,786,49,6.22,15,104,OB
423,JDP Oram,3eac9d95,New Zealand,Bowling All-rounder,Right-arm fast-medium,783,28,8.44,42,588,RAFM
424,P Awana,1a0c3177,India,Bowler,Right-arm fast-medium,783,39,8.13,5,5,RAFM
425,S Aravind,957532de,India,Batter,Left-arm fast-medium,782,46,8.06,10,59,LAFM
426,KA Jamieson,68c56d09,New Zealand,Bowling All-rounder,Right-arm fast-medium,781,37,8.87,17,131,RAFM
427,CJ Anderson,8abdf100,United States of America,Batting All-rounder,Slow left-arm orthodox,780,29,8.66,81,1439,SLA
428,MA Leask,28131839,Scotland,Bowling All-rounder,Right-arm off-break,777,45,7.27,55,852,OB
429,I Ntirenganya,e73f6c4b,Rwanda,Bowler,Left-arm fast-medium,777,36,6.22,19,50,LAFM
430,Tanzim Hasan Sakib,0b0cc297,Bangladesh,Bowling All-rounder,Right-arm fast-medium,773,43,7.98,21,192,RAFM
431,J Miyaji,414d8a10,Uganda,Bowler,Right-arm off-break,769,54,5.64,27,233,OB
432,Nasum Ahmed,37654b75,Bangladesh,Bowler,Slow left-arm orthodox,767,37,7.49,19,97,SLA
433,E Sebareme,f99a219a,Rwanda,Bowler,Right-arm off-break,766,47,5.69,40,356,OB
434,M de Lange,d4eef961,South Africa,Bowler,Right-arm fast,761,34,8.68,11,47,RAF
435,C de Grandhomme,94d7f855,New Zealand,Bowling All-rounder,Right-arm fast-medium,759,24,8.47,83,1272,RAFM
436,C Campher,478a63e7,Ireland,Batting All-rounder,Right-arm fast-medium,757,30,7.98,52,926,RAFM
437,LE Plunkett,9a963804,England,Bowler,Right-arm fast-medium,756,41,8.08,16,66,RAFM
438,Harshit Rana,77b1aa15,India,Batter,Right-arm fast-medium,751,47,9.24,12,107,RAFM
439,Fitri Sham,d2ec068c,Malaysia,Bowler,Slow left-arm orthodox,746,42,6.64,19,115,SLA
440,Iftikhar Ahmed,29e253dd,Pakistan,Batting All-rounder,Right-arm off-break,745,28,7.67,131,2220,OB
441,DM de Silva,7d608e12,Sri Lanka,Batting All-rounder,Slow left-arm orthodox,744,35,6.94,73,1305,SLA
442,M Markande,a9fd84fb,India,Batter,Right-arm leg-break googly,744,37,8.72,10,48,LBG
443,Riazat Ali Shah,269cc4ff,Uganda,Batting All-rounder,Right-arm fast-medium,742,40,6.57,62,1568,RAFM
444,Usman Najeeb,615688b6,Saudi Arabia,Bowling All-rounder,Right-arm fast-medium,741,49,6.99,20,194,RAFM
445,AC Thomas,b552a935,Australia,Bowler,Right-arm fast,739,33,6.93,11,43,RAF
446,VP Thamotharam,eb40ed89,Malta,Batting All-rounder,Right-arm fast-medium,737,31,7.13,52,1179,RAFM
447,LN Rajbanshi,6ad2d5f7,Nepal,Bowler,Slow left-arm orthodox,737,37,6.24,5,8,SLA
448,R Abdulkareem,b9e07e44,Nigeria,Bowling All-rounder,Slow left-arm orthodox,736,52,5.99,30,267,SLA
449,JA Duffy,dadbdb68,New Zealand,Bowler,Right-arm fast-medium,736,53,7.0,9,24,RAFM
450,Umar Adam,5d77a96a,Maldives,Bowling All-rounder,Right-arm off-break,734,45,6.89,35,632,OB
451,P Negi,f62772e5,India,Bowling All-rounder,Slow left-arm orthodox,734,35,7.67,35,365,SLA
452,R Trumpelmann,ff6a7ab5,Namibia,Bowling All-rounder,Left-arm fast-medium,734,45,7.56,23,254,LAFM
453,Shivam Mavi,c38d3503,India,Bowler,Right-arm fast-medium,733,37,8.21,13,79,RAFM
454,KAJ Roach,78eb4223,West Indies,Bowler,Right-arm fast,733,26,7.22,11,56,RAF
455,Kaleemullah,72253b87,Oman,Bowler,Right-arm fast,731,33,6.83,19,99,RAF
456,S Muniandy,57fcfd3b,Malaysia,Bowling All-rounder,Right-arm fast-medium,727,36,8.46,78,1049,RAFM
457,T Lungameni,1688f2dc,Namibia,Batter,Left-arm fast-medium,726,30,7.01,4,16,LAFM
458,Sahel Zadran,dae28050,Austria,Bowler,Right-arm fast-medium,722,36,6.76,19,139,RAFM
459,JDF Vandersay,aceb7654,Sri Lanka,Bowler,Right-arm leg-break googly,722,30,7.5,16,59,LBG
460,Rahat Ali,3cc13c68,Czech Republic,Bowler,Left-arm fast-medium,722,39,7.37,8,30,LAFM
461,MJ Henry,e84ac20c,New Zealand,Bowler,Right-arm fast-medium,722,40,8.44,7,18,RAFM
462,Mohameed Taiwo,a9d788e3,Nigeria,Bowler,Left-arm fast-medium,718,33,6.03,28,143,LAFM
463,J Overton,59559bc2,England,Batting All-rounder,Right-arm fast-medium,717,48,8.27,28,396,RAFM
464,PV Tambe,6aed7e79,,Bowler,Right-arm leg-break googly,714,31,7.3,6,18,LBG
465,A Symonds,bd77eb62,Australia,Batting All-rounder,Right-arm fast-medium,712,28,7.82,47,1311,RAFM
466,H Thaker,c01d7726,Canada,Batting All-rounder,Right-arm off-break,712,38,6.01,36,646,OB
467,Nasrulla Rana,9ffb7550,Hong Kong,Bowler,Right-arm fast-medium,710,39,7.77,33,217,RAFM
468,S Ravichandran,9f2be73d,Japan,Batting All-rounder,Right-arm off-break,707,47,4.94,40,870,OB
469,HTRY Thornton,055be93a,Australia,Batter,Right-arm fast,706,50,8.29,9,56,RAF
470,Al-Amin Hossain,3f5f39cd,Bangladesh,Bowler,Right-arm fast-medium,704,50,7.37,5,7,RAFM
471,SMSM Senanayake,4c4fa80b,Sri Lanka,Bowler,Right-arm off-break,702,34,6.51,15,66,OB
472,CJA Amini,4d84ad05,Papua New Guinea,Batting All-rounder,Right-arm leg-break googly,701,36,6.28,43,836,LBG
473,LA Burns,5b616bf0,Spain,Batter,Right-arm fast-medium,700,51,5.16,14,161,RAFM
474,AD Mascarenhas,3edb58fc,England,Bowler,Right-arm fast-medium,698,38,7.33,26,227,RAFM
475,Aqib Ilyas,b3b39bed,Oman,Batting All-rounder,Right-arm off-break,696,45,5.97,52,1213,OB
476,S Veerapathiran,1e569fb0,Bahrain,Bowling All-rounder,Right-arm fast-medium,696,41,7.81,30,289,RAFM
477,HF Gurney,e412cb64,England,Bowler,Left-arm fast-medium,696,37,7.18,5,3,LAFM
478,SVE Bharathi,6a63c29c,Germany,Bowler,Right-arm off-break,695,43,4.81,6,7,OB
479,JJ Bazley,003d49e6,Australia,Bowling All-rounder,Right-arm fast-medium,691,33,8.53,41,442,RAFM
480,S Mahmood,0f6db197,England,Bowler,Right-arm fast,691,51,8.88,13,50,RAF
481,BA Pai,716bf559,Gibraltar,Batting All-rounder,Right-arm off-break,687,28,6.42,34,911,OB
482,BAD Manenti,ab21795b,Italy,Bowler,Right-arm fast-medium,687,22,7.4,21,186,RAFM
483,L Bruce,2a03bd2f,Gibraltar,Batting All-rounder,Right-arm fast-medium,686,27,7.37,41,1015,RAFM
484,R Dhawan,26a85969,India,Bowling All-rounder,Right-arm fast-medium,686,26,7.78,23,211,RAFM
485,Bilal Hassun,1a9e9efe,Uganda,Bowler,Right-arm fast-medium,684,50,6.26,13,64,RAFM
486,Dawood Ahmadzai,951686f5,France,Bowler,Right-arm fast,678,34,6.27,17,86,RAF
487,Saim Ayub,33609a8c,Pakistan,Batting All-rounder,Slow left-arm orthodox,677,35,7.23,101,2434,SLA
488,GC Murtaza,6cc4d322,Cambodia,Bowler,Right-arm fast-medium,677,34,6.86,16,120,RAFM
489,OH Agbomadzie,b38a9f73,Ghana,Batting All-rounder,Slow left-arm orthodox,674,41,5.4,30,576,SLA
